Subjects,A,B,C,D,O,S,F,FailPercentage,PassPercentage
ENGLISH-I,26,17,24,10,1,12,15,14.285714285714285,85.71428571428572
MATHEMATICS-I,7,15,13,19,2,3,46,43.80952380952381,56.19047619047619
APPLIED PHYSICS,6,1,13,26,0,3,56,53.333333333333336,46.666666666666664
COMPUTER PROGRAMMING,3,15,12,39,0,0,36,34.285714285714285,65.71428571428572
MATHEMATICS-II (MATHEMATICAL METHODS),7,16,15,24,3,2,38,36.19047619047619,63.80952380952381
ENGINEERING DRAWING(CSE/IT/AGRI.E),8,7,18,14,6,1,51,48.57142857142857,51.42857142857143
ENGLISH-COMMUNICATION SKILLS LAB-I,35,3,0,0,20,46,1,0.9523809523809524,99.04761904761905
APPLIED/ENGINEERING PHYSICS LAB,19,13,0,0,38,31,4,3.8095238095238098,96.19047619047619
C PROGRAMMING LAB,57,0,0,0,17,31,0,0.0,100.0
